# Annotation file generated by Gemma
# Generated 06/30/2022
# If you use this file for your research, please cite: 
# Lim et al. (2021) Curation of over 10 000 transcriptomic studies to enable data reuse. 
# Database, baab006 (doi:10.1093/database/baab006). 
# Gemma link for this platform: http://gemma.msl.ubc.ca/ arrays/showArrayDesign.html?id=672
# Generic_human_ensemblIds  Generic platform for Homo sapiens, indexed by Ensembl IDs
# Homo sapiens
ProbeName	GeneSymbols	GeneNames	GOTerms	GemmaIDs	NCBIids
ENSG00000271748					
ENSG00000122548	KIAA0087	KIAA0087 lncRNA		202564	9808
ENSG00000281058	DUX4L6	double homeobox 4 like 6 (pseudogene)		458844	653544
ENSG00000283324	CTXND2	cortexin domain containing 2		8766301	100996521
ENSG00000166596	CFAP52	cilia and flagella associated protein 52	GO:0030317|GO:0061966|GO:0060271	393537	146845
ENSG00000140836	ZFHX3	zinc finger homeobox 3	GO:0000122|GO:0007517|GO:0045893|GO:1904059|GO:0032922|GO:0006357|GO:0006355|GO:0045664|GO:0045785|GO:0051726|GO:0007420|GO:0071559|GO:0045944	10530	463
ENSG00000134297	PLEKHA8P1	pleckstrin homology domain containing A8 pseudogene 1	GO:0035621|GO:0035627|GO:1902389|GO:0120009	270694	51054
ENSG00000204178	MACO1	macoilin 1	GO:0006935|GO:0007420|GO:0023041	295600	55219
ENSG00000179698	WDR97	WD repeat domain 97		425460	340390
ENSG00000197665	GRAPL-AS1	GRAPL antisense RNA 1		341660	79999
ENSG00000141013	GAS8	growth arrest specific 8	GO:0030317|GO:0003351|GO:0008104|GO:1903566|GO:0060294|GO:0008285|GO:0035082|GO:0007368|GO:1904526|GO:0051649|GO:0007420|GO:0045880	52094	2622
ENSG00000287325	LOC124902031	uncharacterized LOC124902031		10583125	124902031
ENSG00000287954	LOC105372551	uncharacterized LOC105372551		9230884	105372551
ENSG00000201557	SNORD114-15	small nucleolar RNA, C/D box 114-15	GO:0006396	474225	767593
ENSG00000130669	PAK4	p21 (RAC1) activated kinase 4	GO:0006468|GO:0007010|GO:0071407|GO:0060996|GO:0098609|GO:0001558|GO:0007049|GO:0045766|GO:0007165|GO:2000352|GO:0043408|GO:0016477|GO:0035556|GO:0006915	212160	10298
ENSG00000283396					
ENSG00000166839	ANKDD1A	ankyrin repeat and death domain containing 1A	GO:0007165	428064	348094
ENSG00000287000	LOC124903585	uncharacterized LOC124903585		10587245	124903585
ENSG00000226572	SNORD57	small nucleolar RNA, C/D box 57	GO:0006396	256828	26792
ENSG00000110921	MVK	mevalonate kinase	GO:0050728|GO:0006695|GO:0008299|GO:0016310|GO:0019287	112715	4598
ENSG00000235593	RBMS3-AS1	RBMS3 antisense RNA 1		8722975	100873977
ENSG00000117122	MFAP2	microfibril associated protein 2	GO:0048050|GO:0120162|GO:0048048	90861	4237
ENSG00000158164	TMSB15A	thymosin beta 15A	GO:0042989|GO:0030334|GO:0007015	225619	11013
ENSG00000137265	IRF4	interferon regulatory factor 4	GO:0032736|GO:0032733|GO:0045893|GO:0043011|GO:0032753|GO:0072540|GO:0002376|GO:0006357|GO:0032743|GO:0043388|GO:0045622|GO:0042110|GO:0043967|GO:0034122|GO:0043966|GO:0042832|GO:0045944|GO:0120162	79471	3662
ENSG00000072864	NDE1	nudE neurodevelopment protein 1	GO:0047496|GO:0007059|GO:0021987|GO:0051298|GO:0051303|GO:0001764|GO:0000132|GO:0051642|GO:0051301|GO:0007405|GO:0007100|GO:0007020|GO:0016477	288552	54820
ENSG00000161920	MED11	mediator complex subunit 11	GO:0032968|GO:0016567|GO:0060261|GO:0051123	438005	400569
ENSG00000163584	RPL22L1	ribosomal protein L22 like 1	GO:0002181	406396	200916
ENSG00000277184	SNORA9	small nucleolar RNA, H/ACA box 9	GO:0006396	459658	677798
ENSG00000285533	RELA-DT	RELA divergent transcript		9216085	105369347
ENSG00000085872	CHERP	calcium homeostasis endoplasmic reticulum protein	GO:0006874|GO:0051209|GO:0007399|GO:0006396|GO:0008285|GO:0070886	216748	10523
ENSG00000067992	PDK3	pyruvate dehydrogenase kinase 3	GO:0097411|GO:0010906|GO:0006006|GO:0006468|GO:0010510|GO:0035357|GO:0018105|GO:2000377|GO:0071333|GO:0071398	123595	5165
ENSG00000125998	FAM83C	family with sequence similarity 83 member C	GO:0007165	385472	128876
ENSG00000178882	ZNF664-RFLNA	ZNF664-RFLNA readthrough	GO:0048705|GO:1900158|GO:0061182|GO:0061572	8624321	100533183
ENSG00000283288	SMIM33	small integral membrane protein 33		10182647	111064649
ENSG00000120054	CPN1	carboxypeptidase N subunit 1	GO:0006518|GO:0016485|GO:0030163|GO:0010815|GO:0051384	28901	1369
ENSG00000138311	ZNF365	zinc finger protein 365	GO:0110026|GO:0060997|GO:0021687|GO:0048714|GO:0010569|GO:0010977|GO:0140059|GO:0000723|GO:0010975	233162	22891
ENSG00000159708	LRRC36	leucine rich repeat containing 36		296708	55282
ENSG00000171459	OR1L6	olfactory receptor family 1 subfamily L member 6	GO:0050911|GO:0007165|GO:0007186	436798	392390
ENSG00000151779	NBAS	NBAS subunit of NRZ tethering complex	GO:2000623|GO:0006890|GO:0000956|GO:0015031	279555	51594
