# Annotation file generated by Gemma
# Generated 08/27/2021
# If you use this file for your research, please cite: 
# Lim et al. (2021) Curation of over 10 000 transcriptomic studies to enable data reuse. 
# Database, baab006 (doi:10.1093/database/baab006). 
# Gemma link for this platform: http://gemma.msl.ubc.ca/ arrays/showArrayDesign.html?id=672
# Generic_human_ensemblIds  Generic platform for Homo sapiens, indexed by Ensembl IDs
# Homo sapiens
ProbeName	GeneSymbols	GeneNames	GOTerms	GemmaIDs	NCBIids
ENSG00000271748					
ENSG00000122548	KIAA0087	KIAA0087 lncRNA		202564	9808
ENSG00000281058	DUX4L6	double homeobox 4 like 6 (pseudogene)		458844	653544
ENSG00000283324	CTXND2	cortexin domain containing 2		8766301	100996521
ENSG00000166596	CFAP52	cilia and flagella associated protein 52		393537	146845
ENSG00000140836	ZFHX3	zinc finger homeobox 3		10530	463
ENSG00000134297	PLEKHA8P1	pleckstrin homology domain containing A8 pseudogene 1		270694	51054
ENSG00000204178	MACO1	macoilin 1		295600	55219
ENSG00000179698	WDR97	WD repeat domain 97		425460	340390
ENSG00000197665	GRAPL-AS1	GRAPL antisense RNA 1		341660	79999
ENSG00000141013	GAS8	growth arrest specific 8		52094	2622
ENSG00000287954	LOC105372551	uncharacterized LOC105372551		9230884	105372551
ENSG00000201557	SNORD114-15	small nucleolar RNA, C/D box 114-15		474225	767593
ENSG00000130669	PAK4	p21 (RAC1) activated kinase 4		212160	10298
ENSG00000283396					
ENSG00000166839	ANKDD1A	ankyrin repeat and death domain containing 1A		428064	348094
ENSG00000226572	SNORD57	small nucleolar RNA, C/D box 57		256828	26792
ENSG00000110921	MVK	mevalonate kinase		112715	4598
ENSG00000235593	RBMS3-AS1	RBMS3 antisense RNA 1		8722975	100873977
ENSG00000117122	MFAP2	microfibril associated protein 2		90861	4237
ENSG00000158164	TMSB15A	thymosin beta 15A		225619	11013
ENSG00000137265	IRF4	interferon regulatory factor 4		79471	3662
ENSG00000072864	NDE1	nudE neurodevelopment protein 1		288552	54820
ENSG00000161920	MED11	mediator complex subunit 11		438005	400569
ENSG00000163584	RPL22L1	ribosomal protein L22 like 1		406396	200916
ENSG00000277184	SNORA9	small nucleolar RNA, H/ACA box 9		459658	677798
ENSG00000285533	RELA-DT	RELA divergent transcript		9216085	105369347
ENSG00000085872	CHERP	calcium homeostasis endoplasmic reticulum protein		216748	10523
ENSG00000067992	PDK3	pyruvate dehydrogenase kinase 3		123595	5165
ENSG00000125998	FAM83C	family with sequence similarity 83 member C		385472	128876
ENSG00000178882	ZNF664-RFLNA	ZNF664-RFLNA readthrough		8624321	100533183
ENSG00000283288	SMIM33	small integral membrane protein 33		10182647	111064649
ENSG00000120054	CPN1	carboxypeptidase N subunit 1		28901	1369
ENSG00000138311	ZNF365	zinc finger protein 365		233162	22891
ENSG00000159708	LRRC36	leucine rich repeat containing 36		296708	55282
ENSG00000171459	OR1L6	olfactory receptor family 1 subfamily L member 6		436798	392390
ENSG00000151779	NBAS	NBAS subunit of NRZ tethering complex		279555	51594
ENSG00000232001	LOC107985932	uncharacterized LOC107985932		9667941	107985932
ENSG00000120992	LYPLA1	lysophospholipase 1		214909	10434
ENSG00000201569	SNORD114-17	small nucleolar RNA, C/D box 114-17		474229	767595
ENSG00000170310	STX8	syntaxin 8		196572	9482
ENSG00000225420	LOC101928371	uncharacterized LOC101928371		8797803	101928371
ENSG00000189134	NKAPL	NFKB activating protein like		411371	222698
ENSG00000058262	SEC61A1	SEC61 translocon subunit alpha 1		266241	29927
ENSG00000204581	ACOXL-AS1	ACOXL antisense RNA 1		438725	400997
ENSG00000228980	LINC01205	long intergenic non-protein coding RNA 1205		424945	401082
ENSG00000104695	PPP2CB	protein phosphatase 2 catalytic subunit beta		130069	5516
ENSG00000139211	AMIGO2	adhesion molecule with Ig like domain 2		427985	347902
ENSG00000119280	C1orf198	chromosome 1 open reading frame 198		361822	84886
ENSG00000183114	FAM43B	family with sequence similarity 43 member B		402091	163933
ENSG00000106070	GRB10	growth factor receptor bound protein 10		56984	2887
ENSG00000180902	D2HGDH	D-2-hydroxyglutarate dehydrogenase		461963	728294
ENSG00000236013	LOC100507477	uncharacterized LOC100507477		8574255	100507477
ENSG00000196459	TRAPPC2	trafficking protein particle complex subunit 2		147855	6399
ENSG00000131848	ZSCAN5A	zinc finger and SCAN domain containing 5A		333671	79149
ENSG00000159263	SIM2	SIM bHLH transcription factor 2		149710	6493
ENSG00000225619	MYT1L-AS1	MYT1L antisense RNA 1		469380	730811
ENSG00000177257	DEFB4B	defensin beta 4B		462452	100289462
ENSG00000175390	EIF3F	eukaryotic translation initiation factor 3 subunit F		182533	8665
ENSG00000232656	IDI2-AS1	IDI2 antisense RNA 1		304941	55853
ENSG00000119013	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3		115062	4709
ENSG00000226762	LINC02668	long intergenic non-protein coding RNA 2668		9248205	105376354
ENSG00000163001	CFAP36	cilia and flagella associated protein 36		373985	112942
ENSG00000111181	SLC6A12	solute carrier family 6 member 12		150677	6539
ENSG00000185808	PIGP	phosphatidylinositol glycan anchor biosynthesis class P		273908	51227
